chapter,label,sheet
F3 MM Chp 1 Power,基础 Power,F3 MM Chp 1 Power simple.csv
F3 MM Chp 2 Significant Figure,基础 S.F. + 进位,Significant Figure.csv
F3 MM Chp 2 Standard Form,基础 Standard Form 换 Single Number,Standard Form.csv
F3 MM Chp 3 储蓄vs投资,Saving vs Investment,F3 MM Chp 3 Saving vs Investment.csv
F3 MM Chp 3 单利vs复利,Simple Interest vs Compound Interest,F3 MM Chp 3 Interest.csv
F3 MM Chp 5 Trigonometry,Basic Tan Sin Cos,F3 MM Chp 5 Trigo A.csv
F3 MM Chp 5 Trigonometry Level 2,计算题,F3 MM Chp 5 Trigo B.csv
F1 MM Chp 1 Law,4种law,F1 MM Chp 1 Law.csv
F1 MM Chp 1 Rational Number,有理数,F1 MM Chp 1 Rational Number.csv
小学分数,选择题,Fraction Obj.csv
小学分数,填充题,Fraction Text.csv
小学质数 1-50,选择题,Prime Obj.csv
小学质数 1-100,选择题,Prime Obj 2.csv
F5 MM Chp 3 保险种类,,F5 MM Chp 3.1.csv
F5 MM Chp 3 车险,,F5 MM Chp 3.2.csv
F5 MM Chp 3 火险,Fire Insurance - Co-insurance,F5 MM Chp 3.3.csv
F5 MM Chp 3 医疗保险,Medical Insurance - Co-insurance,F5 MM Chp 3.4.csv
F4 MM Chp 3 命题-基本,"Converse, Inverse, Contrapositive Basic",F4 MM Chp 3 A.csv
F4 MM Chp 3 命题-高级,"Converse, Inverse, Contrapositive High Level",F4 MM Chp 3 B.csv
F4 MM Chp 6 不等式,Linear Inequalities,F4 MM Chp 6.csv
