title,type,question,A,B,C,D,answer,image
Math Law Q1,ratio,State the law shown / Nyatakan hukum yang ditunjukkan: a + b = b + a,Identity Law / Hukum Identiti,Distributive Law / Hukum Kalis Agihan,Associative Law / Hukum Kalis Sekutuan,Commutative Law / Hukum Kalis Tukar Tertib,D,
Math Law Q2,ratio,State the law shown / Nyatakan hukum yang ditunjukkan: x(y + z) = xy + xz,Identity Law / Hukum Identiti,Distributive Law / Hukum Kalis Agihan,Associative Law / Hukum Kalis Sekutuan,Commutative Law / Hukum Kalis Tukar Tertib,B,
Math Law Q3,ratio,State the law shown / Nyatakan hukum yang ditunjukkan: (a + b) + c = a + (b + c),Identity Law / Hukum Identiti,Distributive Law / Hukum Kalis Agihan,Associative Law / Hukum Kalis Sekutuan,Commutative Law / Hukum Kalis Tukar Tertib,C,
Math Law Q4,ratio,State the law shown / Nyatakan hukum yang ditunjukkan: n + 0 = n,Identity Law / Hukum Identiti,Distributive Law / Hukum Kalis Agihan,Associative Law / Hukum Kalis Sekutuan,Commutative Law / Hukum Kalis Tukar Tertib,A,
Math Law Q5,ratio,State the law shown / Nyatakan hukum yang ditunjukkan: p × q = q × p,Identity Law / Hukum Identiti,Distributive Law / Hukum Kalis Agihan,Associative Law / Hukum Kalis Sekutuan,Commutative Law / Hukum Kalis Tukar Tertib,D,
Math Law Q6,ratio,State the law shown / Nyatakan hukum yang ditunjukkan: 3(x - 4) = 3x - 12,Identity Law / Hukum Identiti,Distributive Law / Hukum Kalis Agihan,Associative Law / Hukum Kalis Sekutuan,Commutative Law / Hukum Kalis Tukar Tertib,B,
Math Law Q7,ratio,State the law shown / Nyatakan hukum yang ditunjukkan: (2 × 3) × 4 = 2 × (3 × 4),Identity Law / Hukum Identiti,Distributive Law / Hukum Kalis Agihan,Associative Law / Hukum Kalis Sekutuan,Commutative Law / Hukum Kalis Tukar Tertib,C,
Math Law Q8,ratio,State the law shown / Nyatakan hukum yang ditunjukkan: m × 1 = m,Identity Law / Hukum Identiti,Distributive Law / Hukum Kalis Agihan,Associative Law / Hukum Kalis Sekutuan,Commutative Law / Hukum Kalis Tukar Tertib,A,
Math Law Q9,ratio,State the law shown / Nyatakan hukum yang ditunjukkan: 5 + 8 = 8 + 5,Identity Law / Hukum Identiti,Distributive Law / Hukum Kalis Agihan,Associative Law / Hukum Kalis Sekutuan,Commutative Law / Hukum Kalis Tukar Tertib,D,
Math Law Q10,ratio,State the law shown / Nyatakan hukum yang ditunjukkan: a(b - c) = ab - ac,Identity Law / Hukum Identiti,Distributive Law / Hukum Kalis Agihan,Associative Law / Hukum Kalis Sekutuan,Commutative Law / Hukum Kalis Tukar Tertib,B,
Math Law Q11,ratio,State the law shown / Nyatakan hukum yang ditunjukkan: (x + y) + z = x + (y + z),Identity Law / Hukum Identiti,Distributive Law / Hukum Kalis Agihan,Associative Law / Hukum Kalis Sekutuan,Commutative Law / Hukum Kalis Tukar Tertib,C,
Math Law Q12,ratio,State the law shown / Nyatakan hukum yang ditunjukkan: 1 × y = y,Identity Law / Hukum Identiti,Distributive Law / Hukum Kalis Agihan,Associative Law / Hukum Kalis Sekutuan,Commutative Law / Hukum Kalis Tukar Tertib,A,
Math Law Q13,ratio,State the law shown / Nyatakan hukum yang ditunjukkan: 12 × 7 = 7 × 12,Identity Law / Hukum Identiti,Distributive Law / Hukum Kalis Agihan,Associative Law / Hukum Kalis Sekutuan,Commutative Law / Hukum Kalis Tukar Tertib,D,
Math Law Q14,ratio,State the law shown / Nyatakan hukum yang ditunjukkan: 4(2 + 5) = (4 × 2) + (4 × 5),Identity Law / Hukum Identiti,Distributive Law / Hukum Kalis Agihan,Associative Law / Hukum Kalis Sekutuan,Commutative Law / Hukum Kalis Tukar Tertib,B,
Math Law Q15,ratio,State the law shown / Nyatakan hukum yang ditunjukkan: (p × q) × r = p × (q × r),Identity Law / Hukum Identiti,Distributive Law / Hukum Kalis Agihan,Associative Law / Hukum Kalis Sekutuan,Commutative Law / Hukum Kalis Tukar Tertib,C,
Math Law Q16,ratio,State the law shown / Nyatakan hukum yang ditunjukkan: 0 + 15 = 15,Identity Law / Hukum Identiti,Distributive Law / Hukum Kalis Agihan,Associative Law / Hukum Kalis Sekutuan,Commutative Law / Hukum Kalis Tukar Tertib,A,
Math Law Q17,ratio,State the law shown / Nyatakan hukum yang ditunjukkan: x + y = y + x,Identity Law / Hukum Identiti,Distributive Law / Hukum Kalis Agihan,Associative Law / Hukum Kalis Sekutuan,Commutative Law / Hukum Kalis Tukar Tertib,D,
Math Law Q18,ratio,State the law shown / Nyatakan hukum yang ditunjukkan: 2(a + b + c) = 2a + 2b + 2c,Identity Law / Hukum Identiti,Distributive Law / Hukum Kalis Agihan,Associative Law / Hukum Kalis Sekutuan,Commutative Law / Hukum Kalis Tukar Tertib,B,
Math Law Q19,ratio,State the law shown / Nyatakan hukum yang ditunjukkan: 10 + (2 + 3) = (10 + 2) + 3,Identity Law / Hukum Identiti,Distributive Law / Hukum Kalis Agihan,Associative Law / Hukum Kalis Sekutuan,Commutative Law / Hukum Kalis Tukar Tertib,C,
Math Law Q20,ratio,State the law shown / Nyatakan hukum yang ditunjukkan: k + 0 = k,Identity Law / Hukum Identiti,Distributive Law / Hukum Kalis Agihan,Associative Law / Hukum Kalis Sekutuan,Commutative Law / Hukum Kalis Tukar Tertib,A,
