title,type,question,A,B,C,D,answer,image
Number System Q1,ratio,Identify the type of number: 0.5,Rational Number / Nombor Nisbah,Irrational Number / Nombor Tak Nisbah,,,A,
Number System Q2,ratio,Identify the type of number: 1/3,Rational Number / Nombor Nisbah,Irrational Number / Nombor Tak Nisbah,,,A,
Number System Q3,ratio,Identify the type of number: √2,Rational Number / Nombor Nisbah,Irrational Number / Nombor Tak Nisbah,,,B,
Number System Q4,ratio,Identify the type of number: π (pi),Rational Number / Nombor Nisbah,Irrational Number / Nombor Tak Nisbah,,,B,
Number System Q5,ratio,Identify the type of number: -7,Rational Number / Nombor Nisbah,Irrational Number / Nombor Tak Nisbah,,,A,
Number System Q6,ratio,Identify the type of number: 0.121212... (recurring),Rational Number / Nombor Nisbah,Irrational Number / Nombor Tak Nisbah,,,A,
Number System Q7,ratio,Identify the type of number: √16,Rational Number / Nombor Nisbah,Irrational Number / Nombor Tak Nisbah,,,A,
Number System Q8,ratio,Identify the type of number: 2.71828... (e),Rational Number / Nombor Nisbah,Irrational Number / Nombor Tak Nisbah,,,B,
Number System Q9,ratio,Identify the type of number: 22/7,Rational Number / Nombor Nisbah,Irrational Number / Nombor Tak Nisbah,,,A,
Number System Q10,ratio,Identify the type of number: 0.1010010001... (non-repeating),Rational Number / Nombor Nisbah,Irrational Number / Nombor Tak Nisbah,,,B,
Number System Q11,ratio,Identify the type of number: √3,Rational Number / Nombor Nisbah,Irrational Number / Nombor Tak Nisbah,,,B,
Number System Q12,ratio,Identify the type of number: 0,Rational Number / Nombor Nisbah,Irrational Number / Nombor Tak Nisbah,,,A,
Number System Q13,ratio,Identify the type of number: 5 1/2,Rational Number / Nombor Nisbah,Irrational Number / Nombor Tak Nisbah,,,A,
Number System Q14,ratio,Identify the type of number: -√25,Rational Number / Nombor Nisbah,Irrational Number / Nombor Tak Nisbah,,,A,
Number System Q15,ratio,Identify the type of number: √10,Rational Number / Nombor Nisbah,Irrational Number / Nombor Tak Nisbah,,,B,
Number System Q16,ratio,Identify the type of number: 1.25,Rational Number / Nombor Nisbah,Irrational Number / Nombor Tak Nisbah,,,A,
Number System Q17,ratio,Identify the type of number: 3π,Rational Number / Nombor Nisbah,Irrational Number / Nombor Tak Nisbah,,,B,
Number System Q18,ratio,Identify the type of number: 0.666...,Rational Number / Nombor Nisbah,Irrational Number / Nombor Tak Nisbah,,,A,
Number System Q19,ratio,Identify the type of number: √(4/9),Rational Number / Nombor Nisbah,Irrational Number / Nombor Tak Nisbah,,,A,
Number System Q20,ratio,Identify the type of number: √0.4,Rational Number / Nombor Nisbah,Irrational Number / Nombor Tak Nisbah,,,B,
