title,type,question,A,B,C,D,answer,image
Pythagoras' Theorem,text,"3,4,?",,,,,5,
,text,"3,?,5",,,,,4,
,text,"?,4,5",,,,,3,
,text,"5,12,?",,,,,13,
,text,"5,?,13",,,,,12,
,text,"?,12,13",,,,,5,
,text,"6,8,?",,,,,10,
,text,"6,?,10",,,,,8,
,text,"?,8,10",,,,,6,
,text,"7,24,?",,,,,25,
,text,"7,?,25",,,,,24,
,text,"?,24,25",,,,,7,
,text,"8,15,?",,,,,17,
,text,"8,?,17",,,,,15,
,text,"?,15,17",,,,,8,
,text,"9,12,?",,,,,15,
,text,"9,?,15",,,,,12,
,text,"?,12,15",,,,,9,
,text,"10,24,?",,,,,26,
,text,"10,?,26",,,,,24,
,text,"?,24,26",,,,,10,
,radio,a² = ,b² + c²,b² - c²,c² - b²,,C,
,radio,b² = ,a² + c²,a² - c²,c² - a²,,C,
,radio,c² = ,a² + b²,a² - b²,b² - a²,,A,
