title,type,question,A,B,C,D,E,F,G,H,I,J,answer,image
Primary Fraction,radio,1/10=,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,A,
,radio,2/10=,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,B,
,radio,3/10=,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,C,
,radio,4/10=,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,D,
,radio,5/10=,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,E,
,radio,6/10=,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,F,
,radio,7/10=,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,G,
,radio,8/10=,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,H,
,radio,9/10=,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,I,
,radio,10/10=,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,J,
,radio,1/8=,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1,,,A,
,radio,2/8=,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1,,,B,
,radio,3/8=,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1,,,C,
,radio,4/8=,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1,,,D,
,radio,5/8=,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1,,,E,
,radio,6/8=,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1,,,F,
,radio,7/8=,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1,,,G,
,radio,8/8=,0.125,0.25,0.375,0.5,0.625,0.75,0.875,1,,,H,
,radio,1/5=,0.2,0.4,0.6,0.8,1,,,,,,A,
,radio,2/5=,0.2,0.4,0.6,0.8,1,,,,,,B,
,radio,3/5=,0.2,0.4,0.6,0.8,1,,,,,,C,
,radio,4/5=,0.2,0.4,0.6,0.8,1,,,,,,D,
,radio,5/5=,0.2,0.4,0.6,0.8,1,,,,,,E,
,radio,1/4=,0.25,0.5,0.75,1,0.2,0.4,0.6,0.8,,,A,
,radio,2/4=,0.25,0.5,0.75,1,0.2,0.4,0.6,0.8,,,B,
,radio,3/4=,0.25,0.5,0.75,1,0.2,0.4,0.6,0.8,,,C,
,radio,4/4=,0.25,0.5,0.75,1,0.2,0.4,0.6,0.8,,,D,
,radio,1/2=,0.25,0.5,0.75,1,0.2,0.4,0.6,0.8,,,B,
,radio,2/2=,0.25,0.5,0.75,1,0.2,0.4,0.6,0.8,,,D,
