title,type,question,A,B,answer,image
Primary Fraction,text,1/10=,,,0.1,
,text,2/10=,,,0.2,
,text,3/10=,,,0.3,
,text,4/10=,,,0.4,
,text,5/10=,,,0.5,
,text,6/10=,,,0.6,
,text,7/10=,,,0.7,
,text,8/10=,,,0.8,
,text,9/10=,,,0.9,
,text,10/10=,,,"1,1.0",
,text,1/8=,,,0.125,
,text,2/8=,,,"0.25,0.250",
,text,3/8=,,,0.375,
,text,4/8=,,,"0.5,0.50,0.500",
,text,5/8=,,,0.625,
,text,6/8=,,,"0.75,0.750",
,text,7/8=,,,0.875,
,text,8/8=,,,"1,1.0",
,text,1/5=,,,0.2,
,text,2/5=,,,0.4,
,text,3/5=,,,0.6,
,text,4/5=,,,0.8,
,text,5/5=,,,"1,1.0",
,text,1/4=,,,0.25,
,text,2/4=,,,"0.5,0.50",
,text,3/4=,,,0.75,
,text,4/4=,,,"1,1.0",
,text,1/2=,,,0.5,
,text,2/2=,,,"1,1.0",
