title,type,question,A,B,C,D,E,F,G,H,I,answer,image
Prime Number,checkbox,1-10的质数是,1,2,3,4,5,6,7,8,9,"B,C,E,G",
,checkbox,11-20的质数是,11,13,15,17,19,,,,,"A,B,D,E",
,checkbox,21-30的质数是,21,23,25,27,29,,,,,"B,E",
,checkbox,31-40的质数是,31,33,35,37,39,,,,,"A,D",
,checkbox,41-50的质数是,41,43,45,47,49,,,,,"A,B,D",
,checkbox,51-60的质数是,51,53,55,57,59,,,,,"B,E",
,checkbox,61-70的质数是,61,63,65,67,69,,,,,"A,D",
,checkbox,71-80的质数是,71,73,75,77,79,,,,,"A,B,E",
,checkbox,81-90的质数是,81,83,85,87,89,,,,,"B,E",
,checkbox,91-100的质数是,91,93,95,97,99,,,,,D,
