title,type,question,A,B,C,D,answer,image
Standard Form,radio,"Express 45000 in standard form. / Ungkapkan 45000 dalam bentuk piawai.",4.5 x 10^3,4.5 x 10^4,45 x 10^3,0.45 x 10^5,B,
Standard Form,radio,"Express 0.0032 in standard form. / Ungkapkan 0.0032 dalam bentuk piawai.",3.2 x 10^-2,3.2 x 10^-3,3.2 x 10^3,32 x 10^-4,B,
Standard Form,radio,"Express 8090000 in standard form. / Ungkapkan 8090000 dalam bentuk piawai.",8.09 x 10^6,8.09 x 10^5,8.09 x 10^7,80.9 x 10^5,A,
Standard Form,radio,"Express 0.000056 in standard form. / Ungkapkan 0.000056 dalam bentuk piawai.",5.6 x 10^-4,5.6 x 10^-6,5.6 x 10^-5,5.6 x 10^5,C,
Standard Form,radio,"Express 710.4 in standard form. / Ungkapkan 710.4 dalam bentuk piawai.",7.104 x 10^1,7.104 x 10^2,7.104 x 10^3,7.104 x 10^-2,B,
Standard Form,radio,"Express 0.902 in standard form. / Ungkapkan 0.902 dalam bentuk piawai.",9.02 x 10^-1,9.02 x 10^-2,9.02 x 10^0,90.2 x 10^-2,A,
Standard Form,radio,"Express 15 million in standard form. / Ungkapkan 15 juta dalam bentuk piawai.",1.5 x 10^6,1.5 x 10^7,1.5 x 10^8,15 x 10^6,B,
Standard Form,radio,"Express 0.0000004 in standard form. / Ungkapkan 0.0000004 dalam bentuk piawai.",4 x 10^-6,4 x 10^-7,4 x 10^-8,0.4 x 10^-6,B,
Standard Form,radio,"Express 2024 in standard form. / Ungkapkan 2024 dalam bentuk piawai.",2.024 x 10^3,2.024 x 10^4,20.24 x 10^2,2.024 x 10^-3,A,
Standard Form,radio,"Express 0.060 in standard form. / Ungkapkan 0.060 dalam bentuk piawai.",6.0 x 10^-2,6 x 10^-2,6.0 x 10^2,6.0 x 10^-1,A,
Convert Number,radio,"Convert 3.5 x 10^4 to a single number. / Tukarkan 3.5 x 10^4 kepada nombor tunggal.",3500,35000,350000,0.00035,B,
Convert Number,radio,"Convert 7.2 x 10^-3 to a single number. / Tukarkan 7.2 x 10^-3 kepada nombor tunggal.",0.072,0.0072,0.00072,7200,B,
Convert Number,radio,"Convert 6.0 x 10^5 to a single number. / Tukarkan 6.0 x 10^5 kepada nombor tunggal.",60000,600000,6000000,60500,B,
Convert Number,radio,"Convert 1.23 x 10^-4 to a single number. / Tukarkan 1.23 x 10^-4 kepada nombor tunggal.",0.0123,0.00123,0.000123,0.0000123,C,
Convert Number,radio,"Convert 9.8 x 10^1 to a single number. / Tukarkan 9.8 x 10^1 kepada nombor tunggal.",98,980,9.8,0.98,A,
Convert Number,radio,"Convert 4.05 x 10^-2 to a single number. / Tukarkan 4.05 x 10^-2 kepada nombor tunggal.",0.405,0.0405,0.00405,405,B,
Convert Number,radio,"Convert 5 x 10^6 to a single number. / Tukarkan 5 x 10^6 kepada nombor tunggal.",500000,5000000,50000000,50000,B,
Convert Number,radio,"Convert 8.1 x 10^0 to a single number. / Tukarkan 8.1 x 10^0 kepada nombor tunggal.",8.1,81,0.81,1,A,
Convert Number,radio,"Convert 2.22 x 10^-5 to a single number. / Tukarkan 2.22 x 10^-5 kepada nombor tunggal.",0.000222,0.0000222,0.00000222,222000,B,
Convert Number,radio,"Convert 3.01 x 10^3 to a single number. / Tukarkan 3.01 x 10^3 kepada nombor tunggal.",301,3010,30010,30100,B,
